tau,model,metric,mean,std,median,min,max,count
0.5,SQR,time_all,165.85532858252526,170.78455287784644,90.36052536964417,61.13023114204407,653.6098387241364,600
0.5,SQR,time_fit,165.85532858252526,170.78455287784644,90.36052536964417,61.13023114204407,653.6098387241364,600
0.6,DecisionTree,complexity,1307.1579831932772,6400.859100213854,75.0,1.0,59639.0,595
0.6,DecisionTree,coverage,0.08267401642034554,0.08226639638874671,0.05499999999999994,0.0,0.35188679245283017,595
0.6,DecisionTree,losses,0.03813420474748073,0.017315705636890864,0.03791704356030216,0.0009570873930736699,0.12523809523809523,595
0.6,DecisionTree,time_all,7.842902078147696,47.136741159583096,0.09491825103759766,0.024744033813476562,410.5283057689667,595
0.6,DecisionTree,time_fit,0.4845282274134019,2.8833128144695848,0.012024879455566406,0.001440286636352539,25.270665168762207,595
0.6,LightGBM,coverage,0.06200279487037085,0.07057591774454572,0.039999999999999925,0.0,0.4,595
0.6,LightGBM,losses,0.04378310586647397,0.029527991200925693,0.036859708949648164,0.0038006656215544272,0.2755555555555556,595
0.6,LightGBM,time_all,0.6121397066517037,1.1255573287846754,0.25522613525390625,0.030718564987182617,7.831706523895264,595
0.6,LightGBM,time_fit,0.11990006591091637,0.23785330243350059,0.054598331451416016,0.0036706924438476562,1.895266056060791,595
0.6,LinearQuantile,complexity,19.941176470588236,20.679653022201254,11.0,2.0,124.0,595
0.6,LinearQuantile,coverage,0.10689383735455303,0.08297392827434649,0.09999999999999998,0.0,0.6,595
0.6,LinearQuantile,losses,0.05897828194433145,0.03238431556407339,0.05807023283815736,2.571196799058948e-13,0.2762264451952036,595
0.6,LinearQuantile,time_all,26.66323505489766,128.7434282109881,0.6914818286895752,0.027542829513549805,1397.357073545456,595
0.6,LinearQuantile,time_fit,2.438704384475195,11.721228666501604,0.0569305419921875,0.001922607421875,124.78409075737,595
0.6,SQR,complexity,9.843697478991597,4.266868655561732,11.0,2.0,19.0,595
0.6,SQR,coverage,0.07916904543188731,0.08032235702548317,0.05499999999999994,0.0,0.44999999999999996,595
0.6,SQR,losses,0.03172336695930462,0.022169050373650794,0.024394441856448488,0.0,0.12666666666666668,595
0.6,SQR,time_all,164.83566730082535,169.50813001481785,91.79540014266968,60.41257047653198,670.8502771854401,595
0.6,SQR,time_fit,164.83566730082535,169.50813001481785,91.79540014266968,60.41257047653198,670.8502771854401,595
0.7,DecisionTree,complexity,1050.7266666666667,4537.9916003555,69.0,1.0,33341.0,600
0.7,DecisionTree,coverage,0.08725036919784462,0.06889352494551401,0.07486263736263737,0.0,0.3363636363636363,600
0.7,DecisionTree,losses,0.03527633231537956,0.016282912677163454,0.034987727449823945,0.0008874370454822733,0.12857142857142856,600
0.7,DecisionTree,time_all,7.759449399709702,46.9190063758071,0.0947425365447998,0.024715662002563477,412.5866298675537,600
0.7,DecisionTree,time_fit,0.42990334312121076,2.6209019456144427,0.011500358581542969,0.0014119148254394531,24.989843130111694,600
0.7,LightGBM,coverage,0.059983856742797305,0.06683603290405848,0.037932948633541186,0.0,0.36666666666666664,600
0.7,LightGBM,losses,0.04187925998716632,0.027760932117458666,0.035320516263476764,0.0042014508852171485,0.21142857142857147,600
0.7,LightGBM,time_all,0.6060540660222371,1.1075901402578114,0.24506604671478271,0.03079700469970703,7.626610517501831,600
0.7,LightGBM,time_fit,0.11783969759941101,0.22965687966807463,0.05164945125579834,0.00372314453125,1.6079251766204834,600
0.7,LinearQuantile,complexity,19.891666666666666,20.60025602112221,11.0,2.0,124.0,600
0.7,LinearQuantile,coverage,0.1623398431630198,0.11754244962588617,0.18999999999999995,0.0,0.7,600
0.7,LinearQuantile,losses,0.05843756905759011,0.03577495090224534,0.05726539731455668,1.5885049035965514e-13,0.3222641791832829,600
0.7,LinearQuantile,time_all,28.914503302176794,150.90611076288448,0.7382112741470337,0.027531862258911133,1710.1735961437225,600
0.7,LinearQuantile,time_fit,2.6124620898564657,13.79207162988433,0.058395981788635254,0.001928567886352539,155.4784984588623,600
0.7,SQR,complexity,9.598333333333333,4.336088867478001,10.0,2.0,21.0,600
0.7,SQR,coverage,0.0733025931347885,0.07752256373911673,0.04999999999999993,0.0,0.4692307692307692,600
0.7,SQR,losses,0.029592720808472254,0.0224148653058807,0.022814256361324455,0.0,0.15674580794724696,600
0.7,SQR,time_all,165.3215878935655,166.5203353283935,91.41164815425873,59.98655438423157,647.5854868888855,600
